,country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
20,Botswana,,,,,,,,,,,,,,,,,,,,,,9431.93,9559.86,9327.26,9187.7,9362.150000000001,9873.87,9443.560000000001,10687.970000000001,11013.61,11013.61,10885.68,12211.5,11978.900000000001,11455.550000000001,11455.550000000001,10908.94,11188.060000000001,12327.800000000001,12444.1,12676.7,12560.400000000001,12560.400000000001,12327.800000000001,11862.6,12095.2,12211.5,12327.800000000001,12793.0,11746.300000000001,12560.400000000001,11978.900000000001,13374.5,13956.000000000002,15119.000000000002,
21,Brazil,,,,,,,,,,,,8327.08,8710.87,9327.26,9687.79,9885.5,10129.730000000001,10222.77,10618.19,11025.240000000002,10967.09,10280.92,10211.140000000001,10222.77,10641.45,11118.28,11397.400000000001,11606.740000000002,11548.59,11560.220000000001,10943.83,10955.460000000001,10885.68,10967.09,11362.51,11560.220000000001,11978.900000000001,12444.1,12560.400000000001,12560.400000000001,12444.1,12560.400000000001,12676.7,12676.7,13258.2,13490.800000000001,13723.400000000001,14421.2,15002.7,14421.2,15816.800000000001,15933.1,16398.300000000003,16979.800000000003,17445.0,
22,Brunei,,,,,,,,,,,,15235.300000000001,14421.2,26981.600000000002,44542.9,53265.4,67454.0,70245.20000000001,63267.200000000004,63616.100000000006,80944.8,75595.0,78851.40000000001,80944.8,90597.70000000001,92342.20000000001,78851.40000000001,78618.8,63499.8,71640.8,77572.1,85364.20000000001,89202.1,83503.40000000001,75362.40000000001,87922.8,86410.90000000001,87108.70000000001,84782.70000000001,84550.1,83270.8,75478.70000000001,72338.6,82456.70000000001,74315.70000000001,70594.1,98971.3,100134.3,108624.20000000001,92225.90000000001,96994.20000000001,114439.20000000001,111648.00000000001,87457.6,100832.1,
23,Bulgaria,,,,,,,,,,,,25934.9,26283.800000000003,27679.4,28609.800000000003,31052.100000000002,32331.4,34308.5,35820.4,37216.0,37216.0,37099.700000000004,38495.3,39193.100000000006,39425.700000000004,39774.600000000006,40123.5,39658.3,40588.700000000004,39890.9,37681.200000000004,29540.2,27912.000000000004,30121.7,29307.600000000002,31982.500000000004,31982.500000000004,29075.000000000004,28260.9,25934.9,26516.4,28144.600000000002,28028.300000000003,28958.7,28377.2,30238.000000000004,31284.7,31052.100000000002,30819.500000000004,27330.500000000004,28144.600000000002,30470.600000000002,29191.300000000003,27097.9,28842.4,
24,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3093.5800000000004,3140.1000000000004,3105.21,3442.48,3361.07,3268.03,3221.51,3675.0800000000004,3721.6000000000004,3012.17,3012.17,2954.02,2954.02,2919.13,4186.8,4303.1,4431.030000000001,4547.33,4617.110000000001,4849.71,
25,Cameroon,,,,,,,,,,,,4686.89,4663.63,4640.37,4640.37,4733.410000000001,4675.26,4861.34,4872.97,4907.860000000001,4931.12,5024.160000000001,5093.9400000000005,5105.570000000001,5117.200000000001,5152.09,5059.05,4989.27,4989.27,5012.530000000001,4919.490000000001,4814.820000000001,4733.410000000001,4756.67,4779.93,4733.410000000001,4721.780000000001,4733.410000000001,4745.04,4652.0,4733.410000000001,4663.63,4652.0,4710.150000000001,4721.780000000001,4628.740000000001,4291.47,3930.94,3861.1600000000003,4058.8700000000003,3977.4600000000005,3733.2300000000005,3744.86,3837.9,3896.05,
26,Canada,49427.5,50125.3,51753.5,54544.700000000004,56987.00000000001,59894.50000000001,61290.100000000006,64662.8,68268.1,70826.70000000001,75362.40000000001,74897.20000000001,79781.8,82340.40000000001,82456.70000000001,83387.1,84782.70000000001,86410.90000000001,87922.8,91411.8,91062.90000000001,87922.8,83387.1,82340.40000000001,85713.1,86876.1,87457.6,89202.1,91760.70000000001,92574.8,88736.90000000001,87457.6,88388.0,90365.1,92574.8,92807.40000000001,93621.5,93737.8,92458.5,94319.3,96180.1,93737.8,92923.70000000001,96994.20000000001,98389.8,97924.6,95831.20000000001,95482.3,95249.70000000001,90714.0,90597.70000000001,91993.3,89899.90000000001,90016.20000000001,91877.0,7630.0
27,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.0170000000002,,,,,,,,,,,,,,2267.8500000000004,2488.82,2523.71,2523.71,,,,,,,,
28,Chile,,,,,,,,,,,,10176.25,10176.25,9629.640000000001,9408.67,8385.230000000001,8734.130000000001,8920.210000000001,9094.66,9478.45,9652.900000000001,9664.53,8745.76,8920.210000000001,9245.85,9094.66,9350.52,9501.710000000001,10583.300000000001,11630.0,12327.800000000001,12327.800000000001,13141.900000000001,13258.2,13956.000000000002,14886.400000000001,16165.7,17910.2,18259.100000000002,19189.5,19073.2,18491.7,18956.9,18956.9,20003.600000000002,20352.5,21050.300000000003,21515.5,21166.600000000002,20352.5,21050.300000000003,22678.5,24888.2,25586.0,23608.9,2010.0
29,China,,,,,,,,,,,,5407.950000000001,5547.51,5628.92,5652.18,6129.01,6245.31,6710.51,7175.71,7198.97,7082.67,6943.110000000001,7059.410000000001,7233.860000000001,7571.13,7652.540000000001,7803.7300000000005,8071.22,8373.6,8420.12,8920.210000000001,8571.310000000001,8757.390000000001,9164.44,9490.08,10083.210000000001,10257.66,10141.36,10106.470000000001,10222.77,10455.37,10804.27,11455.550000000001,13025.6,14770.1,16165.7,17677.600000000002,18956.9,19422.100000000002,20701.4,22678.5,24306.7,25120.800000000003,25702.300000000003,26051.2,
